Screening for genera;Genera mentioned;Families;Orders;Geographic region;Comment;Beach meiofauna?;Beach_alejandro_opinion;UT
Sören;;;;Asia,Japan;No Meiofauna;no;no;wos:000238558300004
Sören;;;;Africa,Morocco;Macrofauna;no;no;wos:000239054300002
Sören;;;;Asia,Japan;Macrofauna;no;no;wos:000239322200018
Sören;;;;North America,USA,North Carolina;Macrofauna;no;no;wos:000241784500005
Sören;;;Harpacticoida;Europe,Latvia;Fish gut content;no;no;wos:000246762000015
Sören;;;;Europe,Italy,Ligurian Sea;Macrofauna;no;no;wos:000246912800002
Sören;Scolelepis,Eurydice,Eteone;Nereididae,Spionidae,Capitellidae,Chaetopteridae;;Europe,Belgium;"Nematoda; Macrofauna";no;no;wos:000247907900011
Sören;;;;Europe,Portugal,Algarve;Macrofauna;no;no;wos:000252795600011
Sören;;;;Europe,Spain;Macrofauna;no;no;wos:000253696500013
Sören;;;;Asia,Japan;Fish study;no;no;wos:000254776200001
Sören;;;Peracarida;Europe,Spain,Galicia;Macrofauna;no;no;wos:000256446800003
Sören;;;;Africa,Tunisia;Macrofauna;no;no;wos:000256446800008
Sören;Marenzelleria,Paraonis,Heteromastus,Leitoscoloplos,Spio,Glycera,Streblospio,Tharyx,Cerebratulus,Phyllodoce,Spiochaetopterus,Illyanassa,Pectinaria;;;North America,USA,Delaware;Mostly Macrofauna;no;no;wos:000258359700017
Sören;Metamysidopsis,Acartia,Calanoides,Calocalanus,Centropages,Ctenocalanus,Euchaeta,Labidocera,Notodiaptomus,Paracalanus,Parvocalanus,Pontellopsis,Pseudodiaptomus,Scolecithrix,Subeucalanus,Temora,Undinula,Halicyclops,Mesocyclops,Oithona,Macrosetella,Microsetella,Corycaeus,Oncaea,Sapphirina,Bosmina,Ceriodaphinia,Diaphanosoma,Evadnes,Moina,Moina,Penilia,Pleopis,Podon,Simocephalus;;Mysidacea,Calanoida,Cyclopoida,Harpacticoida,Poecilostomatoida,Cladocera,Aphagmophora;South America,Brazil;Mostly planctonic Copepoda;no;no;wos:000268742600003
Sören;;;;South America,Brazil;Macrofauna;no;no;wos:000268742600011
Sören;Skolithos,Thalassinoides,Chondrites,Nephthys,Nereis,Amphinome,Arenicolites,Diopatra,Oniphus,Balanoglossites,Heteromastus,Polykladichnus,Amphinome,Oniphus,Skolithos,Serpula,Scolopos,Cerebratulus;;;Asia,India;Mostly macrofaunal Polychaetes;no;no;wos:000269377000008
Sören;;;;Asia,South Korea;Macrofauna;no;no;wos:000272203100005
Sören;Kalliapseudes;;Tanaidacea,Peracarida;South America,Brazil;Macrofauna;no;no;wos:000272203600003
Sören;;;;Oceania,New Zealand;No meiofauna;no;no;wos:000273763300001
Sören;;;;Europe,Spain;No meiofauna;no;no;wos:000274386400016
Sören;;;;North America,USA;Macrofauna;no;no;wos:000278413100010
Sören;;;;Asia,Japan;Macrofauna;no;no;wos:000279389600010
Sören;;;;South America,Venezuela;Macrofauna;no;no;wos:000279511000016
Sören;Capitella;Capitellidae;;South America,Brazil;Macrofauna;no;no;wos:000280606600002
Sören;;;;South America,Brazil;"Gut content; phylum and class mentioned";no;no;wos:000280606600005
Sören;;;;Asia,Japan;No meiofauna;no;no;wos:000283107000013
Sören;;;;South America,Uruguay;Trophic models;no;no;wos:000283980500003
Sören;;;;Africa,South Africa;Fish gut content;no;no;wos:000284002100012
Sören;;;;South America,Brazil;No meiofauna;no;no;wos:000287291100003
Sören;;;;Asia,Japan;Fish gut content;no;no;wos:000290677400004
Sören;;;;South America,Brazil;No Meiofauna;no;no;wos:000292890400002
Sören;;;;Europe,Ireland;"Fish gut content; phyla or class level ID";no;no;wos:000298014800015
Sören;;;;Asia,Japan;Fish gut content;no;no;wos:000299038500013
Sören;;;;South America,Brazil;Macrofauna;no;no;wos:000302950800009
Sören;;;;South America,Brazil;Algae;no;no;wos:000306266300025
Sören;;;;South America,Uruguay;Macrofauna;no;no;wos:000306461800091
Sören;Scolelepis;Spionidae;;North America,USA,Alaska;Macrofauna;no;no;wos:000308331600003
Sören;;;;Africa,Tunisia;;no;no;wos:000310064900001
Sören;;;;Europe,Netherlands;Macrofauna;no;no;wos:000311066800017
Sören;;;;North America,USA;Macrofauna;no;no;wos:000313800400004
Sören;;;;Europe,Belgium;Macrofauna;no;no;wos:000315007300002
Sören;;;;South America,Brazil;Macrofauna;no;no;wos:000320005400008
Sören;;;;Europe,Spain;Macrofauna;no;no;wos:000320420800007
Sören;;Ectinosomatidae;Harpacticoida;Asia,Japan;Fish gut content;no;no;wos:000320791000004
